Year,Units,Регионы,Value
2010,процент,,0.1534083148247186
2010,процент,Акмолинская,0.09803838247104692
2010,процент,Актюбинская,0.053453203406394166
2010,процент,Алматинская,0.07067089500777779
2010,процент,Атырауская,0.0773403414176404
2010,процент,Западно-Казахстанская,0.02029664004683539
2010,процент,Жамбылская,0.27372377152025107
2010,процент,Карагандинская,0.050159322010187406
2010,процент,Костанайская,0.025055576474466105
2010,процент,Кызылординская,0.009393257181939042
2010,процент,Мангистауская,0.20640484240680734
2010,процент,Южно-Казахстанская,0.037392655195203975
2010,процент,Павлодарская,0.019270483950340672
2010,процент,Северо-Казахстанская,0.024016865001182126
2010,процент,Восточно-Казахстанская,0.4098711794348794
2010,процент,г_Нур-Султан,0.2505698390449881
2010,процент,г_Алматы,0.33949592760139474
2011,процент,,0.15349473890263993
2011,процент,Акмолинская,0.058527165738122625
2011,процент,Актюбинская,0.04020208186746575
2011,процент,Алматинская,0.08150292064935807
2011,процент,Атырауская,0.07941051021800083
2011,процент,Западно-Казахстанская,0.026038206301069244
2011,процент,Жамбылская,0.03128188163516803
2011,процент,Карагандинская,0.06401125231037735
2011,процент,Костанайская,0.02209341547452442
2011,процент,Кызылординская,0.006978931264901006
2011,процент,Мангистауская,0.27575224515455465
2011,процент,Южно-Казахстанская,0.029122709611280915
2011,процент,Павлодарская,0.025360202344950577
2011,процент,Северо-Казахстанская,0.015286629554710532
2011,процент,Восточно-Казахстанская,0.2576221204979826
2011,процент,г_Нур-Султан,0.4324989987780292
2011,процент,г_Алматы,0.3351210530055066
2012,процент,,0.16525162547305133
2012,процент,Акмолинская,0.07887822414741202
2012,процент,Актюбинская,0.03672184316670595
2012,процент,Алматинская,0.060716131226140516
2012,процент,Атырауская,0.09771929367686431
2012,процент,Западно-Казахстанская,0.031099990554271383
2012,процент,Жамбылская,0.19535840014161016
2012,процент,Карагандинская,0.12045728971588633
2012,процент,Костанайская,0.02867002126483026
2012,процент,Кызылординская,0.0167718714455739
2012,процент,Мангистауская,0.2866911394390453
2012,процент,Южно-Казахстанская,0.049798979297516525
2012,процент,Павлодарская,0.028548394065695773
2012,процент,Северо-Казахстанская,0.032577493307561704
2012,процент,Восточно-Казахстанская,0.21863996983133932
2012,процент,г_Нур-Султан,0.3920986699275805
2012,процент,г_Алматы,0.3334832548595499
2013,процент,,0.17131769493391086
2013,процент,Акмолинская,0.07769823199635169
2013,процент,Актюбинская,0.030326650894855842
2013,процент,Алматинская,0.06414722056936256
2013,процент,Атырауская,0.047267598418305475
2013,процент,Западно-Казахстанская,0.05144472918141046
2013,процент,Жамбылская,0.12284195373226817
2013,процент,Карагандинская,0.1299711871838348
2013,процент,Костанайская,0.033027019409770896
2013,процент,Кызылординская,0.014669727892022
2013,процент,Мангистауская,0.24555154088483272
2013,процент,Южно-Казахстанская,0.05456688903588456
2013,процент,Павлодарская,0.019071361759502338
2013,процент,Северо-Казахстанская,0.027951176123081192
2013,процент,Восточно-Казахстанская,0.1829062515420733
2013,процент,г_Нур-Султан,0.279652335637578
2013,процент,г_Алматы,0.4347834382569357
2014,процент,,0.1672242147183758
2014,процент,Акмолинская,0.07865409495082003
2014,процент,Актюбинская,0.03817282128349972
2014,процент,Алматинская,0.04209664094768846
2014,процент,Атырауская,0.043443072572762025
2014,процент,Западно-Казахстанская,0.033817883603191365
2014,процент,Жамбылская,0.13497455918909515
2014,процент,Карагандинская,0.13961835832617697
2014,процент,Костанайская,0.04115085314895074
2014,процент,Кызылординская,0.01927351457537803
2014,процент,Мангистауская,0.25476233581585356
2014,процент,Южно-Казахстанская,0.05143459498028702
2014,процент,Павлодарская,0.018485501046958324
2014,процент,Северо-Казахстанская,0.02970267658448633
2014,процент,Восточно-Казахстанская,0.13320133816396637
2014,процент,г_Нур-Султан,0.2534504155485214
2014,процент,г_Алматы,0.4178793718754952
2015,процент,,0.16951050174633028
2015,процент,Акмолинская,0.09929305769273654
2015,процент,Актюбинская,0.03965689774534484
2015,процент,Алматинская,0.05331855096412905
2015,процент,Атырауская,0.057292619582246955
2015,процент,Западно-Казахстанская,0.044048002029529826
2015,процент,Жамбылская,0.06798392042776347
2015,процент,Карагандинская,0.11579339816064288
2015,процент,Костанайская,0.043475156763056924
2015,процент,Кызылординская,0.020226648351648353
2015,процент,Мангистауская,0.36230118342930584
2015,процент,Южно-Казахстанская,0.05423418747926203
2015,процент,Павлодарская,0.018477603307398838
2015,процент,Северо-Казахстанская,0.02680427468456899
2015,процент,Восточно-Казахстанская,0.14277270300136774
2015,процент,г_Нур-Султан,0.2796864170504362
2015,процент,г_Алматы,0.34935361581080276
2016,процент,,0.1417893749674
2016,процент,Акмолинская,0.059308151408139005
2016,процент,Актюбинская,0.036840045351399474
2016,процент,Алматинская,0.04299989986324689
2016,процент,Атырауская,0.05294122307089014
2016,процент,Западно-Казахстанская,0.08802216237865283
2016,процент,Жамбылская,0.03857798650303108
2016,процент,Карагандинская,0.11527574248006342
2016,процент,Костанайская,0.03692482490597505
2016,процент,Кызылординская,0.04690072646443047
2016,процент,Мангистауская,0.3166507408983513
2016,процент,Южно-Казахстанская,0.04343137240842269
2016,процент,Павлодарская,0.01976221259433052
2016,процент,Северо-Казахстанская,0.01962456529464237
2016,процент,Восточно-Казахстанская,0.12439261780602619
2016,процент,г_Нур-Султан,0.2875579248161383
2016,процент,г_Алматы,0.25087470481819296
2017,процент,,0.12667462629198512
2017,процент,Акмолинская,0.05784863796945689
2017,процент,Актюбинская,0.03582827915172075
2017,процент,Алматинская,0.03523789524918228
2017,процент,Атырауская,0.06116262012425808
2017,процент,Западно-Казахстанская,0.012768858702676104
2017,процент,Жамбылская,0.07583962555831897
2017,процент,Карагандинская,0.08141401710490144
2017,процент,Костанайская,0.06358491493994696
2017,процент,Кызылординская,0.03538019152048306
2017,процент,Мангистауская,0.24402870657552808
2017,процент,Южно-Казахстанская,0.02899264754506381
2017,процент,Павлодарская,0.01417076823352472
2017,процент,Северо-Казахстанская,0.016629286489256254
2017,процент,Восточно-Казахстанская,0.15750462830438383
2017,процент,г_Нур-Султан,0.2821766164681406
2017,процент,г_Алматы,0.2132120554440995
2018,процент,,0.11683127406953507
2018,процент,Акмолинская,0.09967183052913202
2018,процент,Актюбинская,0.03598403355654296
2018,процент,Алматинская,0.0401093693036821
2018,процент,Атырауская,0.05748361058580753
2018,процент,Западно-Казахстанская,0.03147019330469878
2018,процент,Жамбылская,0.04774798112887605
2018,процент,Карагандинская,0.0741028032685015
2018,процент,Костанайская,0.03998537756642847
2018,процент,Кызылординская,0.018329702120756058
2018,процент,Мангистауская,0.258968553060897
2018,процент,Павлодарская,0.01056474534943832
2018,процент,Северо-Казахстанская,0.0186673881141689
2018,процент,Туркестанская,0.016484095870331242
2018,процент,Восточно-Казахстанская,0.1481910092037161
2018,процент,г_Нур-Султан,0.2101734697527956
2018,процент,г_Алматы,0.219132115880672
2018,процент,г_Шымкент,0.04847789828498393
2019,процент,,0.12
2019,процент,Акмолинская,0.08346894158840393
2019,процент,Актюбинская,0.03489150298295534
2019,процент,Алматинская,0.04709140084897762
2019,процент,Атырауская,0.05615376112028164
2019,процент,Западно-Казахстанская,0.035269301297295934
2019,процент,Жамбылская,0.044896812119094846
2019,процент,Карагандинская,0.08497573110688095
2019,процент,Костанайская,0.028483852109982537
2019,процент,Кызылординская,0.014904964731351006
2019,процент,Мангистауская,0.26798494388012484
2019,процент,Павлодарская,0.04484075605032495
2019,процент,Северо-Казахстанская,0.017761541491434295
2019,процент,Туркестанская,0.01035691942239266
2019,процент,Восточно-Казахстанская,0.17321103000094573
2019,процент,г_Нур-Султан,0.25633747106776844
2019,процент,г_Алматы,0.19471420347848326
2019,процент,г_Шымкент,0.05173774410508843
