Year,Units,Өңірлер,Жынысы,Аймақ,GeoCode,Value
2010,пайыз,,,,,5.724655114193832
2011,пайыз,,,,,5.1160227566437175
2012,пайыз,,,,,5.895514825699013
2013,пайыз,,,,,5.755110647925178
2014,пайыз,,,,,6.96335857005814
2015,пайыз,,,,,7.873647499522124
2016,пайыз,,,,,7.199852173571244
2017,пайыз,,,,,6.360494998547763
2018,пайыз,,,,,6.0
2010,пайыз,Ақмола,,,KZ03,6.242788009982736
2011,пайыз,Ақмола,,,KZ03,5.151219512195122
2012,пайыз,Ақмола,,,KZ03,5.402926116951072
2013,пайыз,Ақмола,,,KZ03,5.0674241065952
2014,пайыз,Ақмола,,,KZ03,4.489955427871311
2015,пайыз,Ақмола,,,KZ03,7.680746061990368
2016,пайыз,Ақмола,,,KZ03,5.843239003197973
2017,пайыз,Ақмола,,,KZ03,6.12983227653917
2018,пайыз,Ақмола,,,KZ03,4.4
2010,пайыз,Ақтөбе,,,KZ04,1.4475262368815591
2011,пайыз,Ақтөбе,,,KZ04,1.2322378488668655
2012,пайыз,Ақтөбе,,,KZ04,1.2341576506955176
2013,пайыз,Ақтөбе,,,KZ04,1.9291094090858427
2014,пайыз,Ақтөбе,,,KZ04,6.755143934692319
2015,пайыз,Ақтөбе,,,KZ04,7.972185769612392
2016,пайыз,Ақтөбе,,,KZ04,5.109647339459489
2017,пайыз,Ақтөбе,,,KZ04,4.848524261201587
2018,пайыз,Ақтөбе,,,KZ04,6.5
2010,пайыз,Алматы,,,KZ01,6.372072221405584
2011,пайыз,Алматы,,,KZ01,6.018605998765478
2012,пайыз,Алматы,,,KZ01,8.997518594892624
2013,пайыз,Алматы,,,KZ01,7.894076541397718
2014,пайыз,Алматы,,,KZ01,7.579949068489479
2015,пайыз,Алматы,,,KZ01,8.210591038352161
2016,пайыз,Алматы,,,KZ01,7.563929575862013
2017,пайыз,Алматы,,,KZ01,6.6922776181815085
2018,пайыз,Алматы,,,KZ01,6.1
2010,пайыз,Атырау,,,KZ06,3.4931758700495315
2011,пайыз,Атырау,,,KZ06,2.3304521276595747
2012,пайыз,Атырау,,,KZ06,3.9537788881948783
2013,пайыз,Атырау,,,KZ06,4.300362189460797
2014,пайыз,Атырау,,,KZ06,4.677618622402172
2015,пайыз,Атырау,,,KZ06,7.024922960480077
2016,пайыз,Атырау,,,KZ06,7.0816864295125175
2017,пайыз,Атырау,,,KZ06,7.238249833985096
2018,пайыз,Атырау,,,KZ06,5.7
2010,пайыз,Батыс Қазақстан,,,KZ07,8.26283480438567
2011,пайыз,Батыс Қазақстан,,,KZ07,5.582988091052238
2012,пайыз,Батыс Қазақстан,,,KZ07,3.9210076687725985
2013,пайыз,Батыс Қазақстан,,,KZ07,3.1828286699885013
2014,пайыз,Батыс Қазақстан,,,KZ07,3.1123118838555937
2015,пайыз,Батыс Қазақстан,,,KZ07,3.94703715790946
2016,пайыз,Батыс Қазақстан,,,KZ07,2.3361732770955888
2017,пайыз,Батыс Қазақстан,,,KZ07,2.172999407797964
2018,пайыз,Батыс Қазақстан,,,KZ07,2.1
2010,пайыз,Жамбыл,,,KZ17,8.076607195904032
2011,пайыз,Жамбыл,,,KZ17,7.2833464691973795
2012,пайыз,Жамбыл,,,KZ17,7.385138139513277
2013,пайыз,Жамбыл,,,KZ17,4.8446220877894195
2014,пайыз,Жамбыл,,,KZ17,9.588728538018367
2015,пайыз,Жамбыл,,,KZ17,12.852511590615961
2016,пайыз,Жамбыл,,,KZ17,11.6771783289298
2017,пайыз,Жамбыл,,,KZ17,9.267012395648877
2018,пайыз,Жамбыл,,,KZ17,5.9
2010,пайыз,Қарағанды,,,KZ12,6.857281645099918
2011,пайыз,Қарағанды,,,KZ12,6.204501871125095
2012,пайыз,Қарағанды,,,KZ12,7.975770986546668
2013,пайыз,Қарағанды,,,KZ12,5.324789128167972
2014,пайыз,Қарағанды,,,KZ12,10.517239582790632
2015,пайыз,Қарағанды,,,KZ12,12.522614048145511
2016,пайыз,Қарағанды,,,KZ12,9.458373513339762
2017,пайыз,Қарағанды,,,KZ12,8.718547785348193
2018,пайыз,Қарағанды,,,KZ12,9.7
2010,пайыз,Қостанай,,,KZ13,4.1690001866816
2011,пайыз,Қостанай,,,KZ13,4.294918183670458
2012,пайыз,Қостанай,,,KZ13,4.465829415616424
2013,пайыз,Қостанай,,,KZ13,5.1749087176725945
2014,пайыз,Қостанай,,,KZ13,4.507227909837867
2015,пайыз,Қостанай,,,KZ13,6.5222133987241815
2016,пайыз,Қостанай,,,KZ13,3.30901795532574
2017,пайыз,Қостанай,,,KZ13,4.0780300990336
2018,пайыз,Қостанай,,,KZ13,4.1
2010,пайыз,Қызылорда,,,KZ14,7.575518698366653
2011,пайыз,Қызылорда,,,KZ14,6.610937450664648
2012,пайыз,Қызылорда,,,KZ14,10.108279462043619
2013,пайыз,Қызылорда,,,KZ14,9.83618094381671
2014,пайыз,Қызылорда,,,KZ14,12.417803004083893
2015,пайыз,Қызылорда,,,KZ14,7.642664204875714
2016,пайыз,Қызылорда,,,KZ14,10.132026324117726
2017,пайыз,Қызылорда,,,KZ14,6.381529969313457
2018,пайыз,Қызылорда,,,KZ14,4.0
2010,пайыз,Маңғыстау,,,KZ09,8.313265358405493
2011,пайыз,Маңғыстау,,,KZ09,7.679611029364724
2012,пайыз,Маңғыстау,,,KZ09,9.845207191616193
2013,пайыз,Маңғыстау,,,KZ09,8.392706452887829
2014,пайыз,Маңғыстау,,,KZ09,14.462852734955154
2015,пайыз,Маңғыстау,,,KZ09,9.946789483097836
2016,пайыз,Маңғыстау,,,KZ09,14.24988683769467
2017,пайыз,Маңғыстау,,,KZ09,6.56461283326955
2018,пайыз,Маңғыстау,,,KZ09,5.4
2010,пайыз,Оңтүстік Қазақстан,,,KZ10,4.1228792938126695
2011,пайыз,Оңтүстік Қазақстан,,,KZ10,3.7704529842190526
2012,пайыз,Оңтүстік Қазақстан,,,KZ10,3.7872726067063054
2013,пайыз,Оңтүстік Қазақстан,,,KZ10,3.330125806336648
2014,пайыз,Оңтүстік Қазақстан,,,KZ10,6.818115814141557
2015,пайыз,Оңтүстік Қазақстан,,,KZ10,8.286553796280268
2016,пайыз,Оңтүстік Қазақстан,,,KZ10,7.890421552878497
2017,пайыз,Оңтүстік Қазақстан,,,KZ10,9.019211012150754
2010,пайыз,Павлодар,,,KZ11,3.3047980891004984
2011,пайыз,Павлодар,,,KZ11,3.5945791775423066
2012,пайыз,Павлодар,,,KZ11,2.7719685159131524
2013,пайыз,Павлодар,,,KZ11,1.7740585774058577
2014,пайыз,Павлодар,,,KZ11,3.4295278771788062
2015,пайыз,Павлодар,,,KZ11,5.608214849921012
2016,пайыз,Павлодар,,,KZ11,7.491498054950702
2017,пайыз,Павлодар,,,KZ11,4.467248292914153
2018,пайыз,Павлодар,,,KZ11,4.2
2010,пайыз,Солтүстік Қазақстан,,,KZ16,4.625475895601119
2011,пайыз,Солтүстік Қазақстан,,,KZ16,5.3932182724042965
2012,пайыз,Солтүстік Қазақстан,,,KZ16,6.428534927691758
2013,пайыз,Солтүстік Қазақстан,,,KZ16,6.339733270511862
2014,пайыз,Солтүстік Қазақстан,,,KZ16,6.565374333569952
2015,пайыз,Солтүстік Қазақстан,,,KZ16,7.20981314193788
2016,пайыз,Солтүстік Қазақстан,,,KZ16,8.583555166700794
2017,пайыз,Солтүстік Қазақстан,,,KZ16,6.58604032483898
2018,пайыз,Солтүстік Қазақстан,,,KZ16,8.1
2018,пайыз,Түркістан,,,KZ10,11.4
2010,пайыз,Шығыс Қазақстан,,,KZ15,8.92037598353383
2011,пайыз,Шығыс Қазақстан,,,KZ15,8.48096682207034
2012,пайыз,Шығыс Қазақстан,,,KZ15,5.141752132325012
2013,пайыз,Шығыс Қазақстан,,,KZ15,7.2565898285470976
2014,пайыз,Шығыс Қазақстан,,,KZ15,5.674589189608931
2015,пайыз,Шығыс Қазақстан,,,KZ15,7.646913876656157
2016,пайыз,Шығыс Қазақстан,,,KZ15,4.643347775546867
2017,пайыз,Шығыс Қазақстан,,,KZ15,5.900292079491438
2018,пайыз,Шығыс Қазақстан,,,KZ15,4.1
2010,пайыз,Нұр-Сұлтан қаласы,,,KZ05,7.783086938395921
2011,пайыз,Нұр-Сұлтан қаласы,,,KZ05,6.638156839685679
2012,пайыз,Нұр-Сұлтан қаласы,,,KZ05,13.518358903637305
2013,пайыз,Нұр-Сұлтан қаласы,,,KZ05,19.326722773102244
2014,пайыз,Нұр-Сұлтан қаласы,,,KZ05,6.50519506147418
2015,пайыз,Нұр-Сұлтан қаласы,,,KZ05,5.174850378913623
2016,пайыз,Нұр-Сұлтан қаласы,,,KZ05,6.3546807601134745
2017,пайыз,Нұр-Сұлтан қаласы,,,KZ05,4.083838344848883
2018,пайыз,Нұр-Сұлтан қаласы,,,KZ05,4.1
2010,пайыз,Алматы қаласы,,,KZ02,3.807905361725848
2011,пайыз,Алматы қаласы,,,KZ02,2.7587255662698524
2012,пайыз,Алматы қаласы,,,KZ02,3.3442247697107312
2013,пайыз,Алматы қаласы,,,KZ02,3.1668396766103184
2014,пайыз,Алматы қаласы,,,KZ02,4.83038657283476
2015,пайыз,Алматы қаласы,,,KZ02,5.884230008296638
2016,пайыз,Алматы қаласы,,,KZ02,5.196647170938976
2017,пайыз,Алматы қаласы,,,KZ02,4.014715397802696
2018,пайыз,Алматы қаласы,,,KZ02,3.4
2018,пайыз,Шымкент қаласы,,,KZ18,9.5
2010,пайыз,,ерлер,,,4.36988437520211
2011,пайыз,,ерлер,,,5.444190647894208
2012,пайыз,,ерлер,,,4.896304864877625
2013,пайыз,,ерлер,,,4.983714445233832
2014,пайыз,,ерлер,,,4.95553324033096
2015,пайыз,,ерлер,,,6.016153008683875
2016,пайыз,,ерлер,,,5.3035123054291375
2017,пайыз,,ерлер,,,5.073766448511123
2018,пайыз,,ерлер,,,5.2
2010,пайыз,Ақмола,ерлер,,,6.489469572300072
2011,пайыз,Ақмола,ерлер,,,4.2563619227144205
2012,пайыз,Ақмола,ерлер,,,5.417568742435349
2013,пайыз,Ақмола,ерлер,,,4.533077594917199
2014,пайыз,Ақмола,ерлер,,,3.28613843388338
2015,пайыз,Ақмола,ерлер,,,5.797833272126331
2016,пайыз,Ақмола,ерлер,,,4.510913107868605
2017,пайыз,Ақмола,ерлер,,,4.56931460280958
2018,пайыз,Ақмола,ерлер,,,3.5
2010,пайыз,Ақтөбе,ерлер,,,1.7448704385272158
2011,пайыз,Ақтөбе,ерлер,,,3.549946734409572
2012,пайыз,Ақтөбе,ерлер,,,0.3749153550134606
2013,пайыз,Ақтөбе,ерлер,,,1.4423314398616942
2014,пайыз,Ақтөбе,ерлер,,,3.6813547385437833
2015,пайыз,Ақтөбе,ерлер,,,5.4272579289125815
2016,пайыз,Ақтөбе,ерлер,,,2.294701326028989
2017,пайыз,Ақтөбе,ерлер,,,2.0858208955223883
2018,пайыз,Ақтөбе,ерлер,,,4.2
2010,пайыз,Алматы,ерлер,,,4.925805601896566
2011,пайыз,Алматы,ерлер,,,6.4730961271585326
2012,пайыз,Алматы,ерлер,,,6.822890846457944
2013,пайыз,Алматы,ерлер,,,5.709321792968381
2014,пайыз,Алматы,ерлер,,,5.434153101536807
2015,пайыз,Алматы,ерлер,,,6.104794126883491
2016,пайыз,Алматы,ерлер,,,5.157894736842105
2017,пайыз,Алматы,ерлер,,,6.547955378331692
2018,пайыз,Алматы,ерлер,,,3.7
2010,пайыз,Атырау,ерлер,,,2.2890168620789657
2011,пайыз,Атырау,ерлер,,,1.8545729806750384
2012,пайыз,Атырау,ерлер,,,1.9520533490904488
2013,пайыз,Атырау,ерлер,,,3.796600600842793
2014,пайыз,Атырау,ерлер,,,2.1572653702137936
2015,пайыз,Атырау,ерлер,,,4.254813876630188
2016,пайыз,Атырау,ерлер,,,5.695068308236554
2017,пайыз,Атырау,ерлер,,,4.997867037876917
2018,пайыз,Атырау,ерлер,,,2.1
2010,пайыз,Батыс Қазақстан,ерлер,,,7.876007198326876
2011,пайыз,Батыс Қазақстан,ерлер,,,3.433556338574733
2012,пайыз,Батыс Қазақстан,ерлер,,,3.4863377548748287
2013,пайыз,Батыс Қазақстан,ерлер,,,3.1206933513000337
2014,пайыз,Батыс Қазақстан,ерлер,,,2.7881915458753888
2015,пайыз,Батыс Қазақстан,ерлер,,,3.516061712752478
2016,пайыз,Батыс Қазақстан,ерлер,,,2.24940356723596
2017,пайыз,Батыс Қазақстан,ерлер,,,1.9370551475446967
2018,пайыз,Батыс Қазақстан,ерлер,,,1.6
2010,пайыз,Жамбыл,ерлер,,,5.101019544009767
2011,пайыз,Жамбыл,ерлер,,,6.468386023294507
2012,пайыз,Жамбыл,ерлер,,,6.331763474620618
2013,пайыз,Жамбыл,ерлер,,,4.314832667676629
2014,пайыз,Жамбыл,ерлер,,,5.4453455326817775
2015,пайыз,Жамбыл,ерлер,,,8.131331525771246
2016,пайыз,Жамбыл,ерлер,,,7.82113120099162
2017,пайыз,Жамбыл,ерлер,,,5.934028905977351
2018,пайыз,Жамбыл,ерлер,,,5.8
2010,пайыз,Қарағанды,ерлер,,,3.7967320147944914
2011,пайыз,Қарағанды,ерлер,,,5.611062265206621
2012,пайыз,Қарағанды,ерлер,,,5.708852162100973
2013,пайыз,Қарағанды,ерлер,,,4.789198706294375
2014,пайыз,Қарағанды,ерлер,,,5.256480344930735
2015,пайыз,Қарағанды,ерлер,,,7.2368347760213
2016,пайыз,Қарағанды,ерлер,,,5.893606309783522
2017,пайыз,Қарағанды,ерлер,,,6.429560191368967
2018,пайыз,Қарағанды,ерлер,,,7.0
2010,пайыз,Қостанай,ерлер,,,3.79713189970509
2011,пайыз,Қостанай,ерлер,,,4.536867627590105
2012,пайыз,Қостанай,ерлер,,,3.2712250231852287
2013,пайыз,Қостанай,ерлер,,,5.22588208842565
2014,пайыз,Қостанай,ерлер,,,4.625610173460382
2015,пайыз,Қостанай,ерлер,,,6.019926410053933
2016,пайыз,Қостанай,ерлер,,,2.9234149914543828
2017,пайыз,Қостанай,ерлер,,,3.534732415598841
2018,пайыз,Қостанай,ерлер,,,3.5
2010,пайыз,Қызылорда,ерлер,,,6.989023204112827
2011,пайыз,Қызылорда,ерлер,,,9.759935768767564
2012,пайыз,Қызылорда,ерлер,,,9.893537862743976
2013,пайыз,Қызылорда,ерлер,,,9.829617883903863
2014,пайыз,Қызылорда,ерлер,,,9.05453393574632
2015,пайыз,Қызылорда,ерлер,,,6.6063921307643625
2016,пайыз,Қызылорда,ерлер,,,8.381914961029086
2017,пайыз,Қызылорда,ерлер,,,5.478421326071769
2018,пайыз,Қызылорда,ерлер,,,3.4
2010,пайыз,Маңғыстау,ерлер,,,6.941896814529673
2011,пайыз,Маңғыстау,ерлер,,,14.14905497376683
2012,пайыз,Маңғыстау,ерлер,,,12.333073750396585
2013,пайыз,Маңғыстау,ерлер,,,7.559270139434814
2014,пайыз,Маңғыстау,ерлер,,,13.79532932199092
2015,пайыз,Маңғыстау,ерлер,,,6.754952855175335
2016,пайыз,Маңғыстау,ерлер,,,6.182350073135058
2017,пайыз,Маңғыстау,ерлер,,,3.630086313193588
2018,пайыз,Маңғыстау,ерлер,,,4.0
2010,пайыз,Оңтүстік Қазақстан,ерлер,,,1.9456931172304064
2011,пайыз,Оңтүстік Қазақстан,ерлер,,,5.516644301112507
2012,пайыз,Оңтүстік Қазақстан,ерлер,,,2.333408889706228
2013,пайыз,Оңтүстік Қазақстан,ерлер,,,1.5621135148505432
2014,пайыз,Оңтүстік Қазақстан,ерлер,,,5.310954672606028
2015,пайыз,Оңтүстік Қазақстан,ерлер,,,7.389867590419106
2016,пайыз,Оңтүстік Қазақстан,ерлер,,,6.501366459627329
2017,пайыз,Оңтүстік Қазақстан,ерлер,,,8.197567111862856
2010,пайыз,Павлодар,ерлер,,,2.6914275929702214
2011,пайыз,Павлодар,ерлер,,,3.082442959938153
2012,пайыз,Павлодар,ерлер,,,1.985623270241656
2013,пайыз,Павлодар,ерлер,,,1.0795597748466774
2014,пайыз,Павлодар,ерлер,,,2.2486772486772484
2015,пайыз,Павлодар,ерлер,,,4.986018176370718
2016,пайыз,Павлодар,ерлер,,,7.0790426482343545
2017,пайыз,Павлодар,ерлер,,,4.768112308849336
2018,пайыз,Павлодар,ерлер,,,5.0
2010,пайыз,Солтүстік Қазақстан,ерлер,,,4.874980342821198
2011,пайыз,Солтүстік Қазақстан,ерлер,,,4.700243239376163
2012,пайыз,Солтүстік Қазақстан,ерлер,,,5.034651932649028
2013,пайыз,Солтүстік Қазақстан,ерлер,,,6.399922070964129
2014,пайыз,Солтүстік Қазақстан,ерлер,,,4.595167201099407
2015,пайыз,Солтүстік Қазақстан,ерлер,,,5.053775876026368
2016,пайыз,Солтүстік Қазақстан,ерлер,,,4.561774821421824
2017,пайыз,Солтүстік Қазақстан,ерлер,,,3.3360723089564503
2018,пайыз,Солтүстік Қазақстан,ерлер,,,4.3
2018,пайыз,Түркістан,ерлер,,,12.0
2010,пайыз,Шығыс Қазақстан,ерлер,,,8.143863670691509
2011,пайыз,Шығыс Қазақстан,ерлер,,,5.63518256089326
2012,пайыз,Шығыс Қазақстан,ерлер,,,4.250459213293868
2013,пайыз,Шығыс Қазақстан,ерлер,,,6.481306149929518
2014,пайыз,Шығыс Қазақстан,ерлер,,,3.3848126347689265
2015,пайыз,Шығыс Қазақстан,ерлер,,,4.892256806457186
2016,пайыз,Шығыс Қазақстан,ерлер,,,3.4157542421254736
2017,пайыз,Шығыс Қазақстан,ерлер,,,3.5422901890041407
2018,пайыз,Шығыс Қазақстан,ерлер,,,3.1
2010,пайыз,Нұр-Сұлтан қаласы,ерлер,,,3.1550535293050266
2011,пайыз,Нұр-Сұлтан қаласы,ерлер,,,5.219202198462793
2012,пайыз,Нұр-Сұлтан қаласы,ерлер,,,12.652303120356612
2013,пайыз,Нұр-Сұлтан қаласы,ерлер,,,17.77010656996722
2014,пайыз,Нұр-Сұлтан қаласы,ерлер,,,4.685824179888309
2015,пайыз,Нұр-Сұлтан қаласы,ерлер,,,4.438509215462403
2016,пайыз,Нұр-Сұлтан қаласы,ерлер,,,4.905330250578016
2017,пайыз,Нұр-Сұлтан қаласы,ерлер,,,3.75975067106235
2018,пайыз,Нұр-Сұлтан қаласы,ерлер,,,4.1
2010,пайыз,Алматы қаласы,ерлер,,,2.975722388609099
2011,пайыз,Алматы қаласы,ерлер,,,2.8606907111580013
2012,пайыз,Алматы қаласы,ерлер,,,3.815790611408461
2013,пайыз,Алматы қаласы,ерлер,,,3.4102856335091483
2014,пайыз,Алматы қаласы,ерлер,,,3.941111103442088
2015,пайыз,Алматы қаласы,ерлер,,,5.243405931344187
2016,пайыз,Алматы қаласы,ерлер,,,4.725467893702824
2017,пайыз,Алматы қаласы,ерлер,,,3.3278440059459617
2018,пайыз,Алматы қаласы,ерлер,,,2.7
2018,пайыз,Шымкент қаласы,ерлер,,,10.9
2010,пайыз,,әйелдер,,,7.10229058060292
2011,пайыз,,әйелдер,,,9.37058527034552
2012,пайыз,,әйелдер,,,6.900014387699555
2013,пайыз,,әйелдер,,,6.5305810339092565
2014,пайыз,,әйелдер,,,8.987956738239061
2015,пайыз,,әйелдер,,,9.713228770357446
2016,пайыз,,әйелдер,,,9.095963058590517
2017,пайыз,,әйелдер,,,7.639134003073982
2018,пайыз,,әйелдер,,,5.2
2010,пайыз,Ақмола,әйелдер,,,5.95537823914475
2011,пайыз,Ақмола,әйелдер,,,6.079561428169807
2012,пайыз,Ақмола,әйелдер,,,5.385094457130994
2013,пайыз,Ақмола,әйелдер,,,5.723233427214259
2014,пайыз,Ақмола,әйелдер,,,5.8095512210242
2015,пайыз,Ақмола,әйелдер,,,9.685064379779616
2016,пайыз,Ақмола,әйелдер,,,7.159996160859968
2017,пайыз,Ақмола,әйелдер,,,7.7633575801978125
2018,пайыз,Ақмола,әйелдер,,,3.5
2010,пайыз,Ақтөбе,әйелдер,,,1.146494893572086
2011,пайыз,Ақтөбе,әйелдер,,,8.983559598360529
2012,пайыз,Ақтөбе,әйелдер,,,1.9897462710412035
2013,пайыз,Ақтөбе,әйелдер,,,2.384879831038895
2014,пайыз,Ақтөбе,әйелдер,,,9.793528992959418
2015,пайыз,Ақтөбе,әйелдер,,,10.031996988518728
2016,пайыз,Ақтөбе,әйелдер,,,7.903359377812984
2017,пайыз,Ақтөбе,әйелдер,,,7.588682666864048
2018,пайыз,Ақтөбе,әйелдер,,,4.2
2010,пайыз,Алматы,әйелдер,,,7.810696661738191
2011,пайыз,Алматы,әйелдер,,,11.740013755049446
2012,пайыз,Алматы,әйелдер,,,11.106454058518603
2013,пайыз,Алматы,әйелдер,,,10.048022722035016
2014,пайыз,Алматы,әйелдер,,,9.88968173570371
2015,пайыз,Алматы,әйелдер,,,10.481387295055779
2016,пайыз,Алматы,әйелдер,,,10.257382076284326
2017,пайыз,Алматы,әйелдер,,,6.8527326572736245
2018,пайыз,Алматы,әйелдер,,,3.7
2010,пайыз,Атырау,әйелдер,,,4.808562635771182
2011,пайыз,Атырау,әйелдер,,,6.346502924500817
2012,пайыз,Атырау,әйелдер,,,5.902535234416733
2013,пайыз,Атырау,әйелдер,,,4.816390598537733
2014,пайыз,Атырау,әйелдер,,,7.262860541183468
2015,пайыз,Атырау,әйелдер,,,10.361348143204461
2016,пайыз,Атырау,әйелдер,,,8.498846364263457
2017,пайыз,Атырау,әйелдер,,,9.951330922537318
2018,пайыз,Атырау,әйелдер,,,2.1
2010,пайыз,Батыс Қазақстан,әйелдер,,,8.607178421440013
2011,пайыз,Батыс Қазақстан,әйелдер,,,4.251496094166376
2012,пайыз,Батыс Қазақстан,әйелдер,,,4.355076952399104
2013,пайыз,Батыс Қазақстан,әйелдер,,,3.2451185066928656
2014,пайыз,Батыс Қазақстан,әйелдер,,,3.436446980965969
2015,пайыз,Батыс Қазақстан,әйелдер,,,4.378744610560502
2016,пайыз,Батыс Қазақстан,әйелдер,,,2.420860052113171
2017,пайыз,Батыс Қазақстан,әйелдер,,,2.4145997254818568
2018,пайыз,Батыс Қазақстан,әйелдер,,,1.6
2010,пайыз,Жамбыл,әйелдер,,,11.4267317169816
2011,пайыз,Жамбыл,әйелдер,,,12.665754510696518
2012,пайыз,Жамбыл,әйелдер,,,8.526199364025992
2013,пайыз,Жамбыл,әйелдер,,,5.425315118122122
2014,пайыз,Жамбыл,әйелдер,,,13.976773890446758
2015,пайыз,Жамбыл,әйелдер,,,17.902802227929932
2016,пайыз,Жамбыл,әйелдер,,,15.976206927629404
2017,пайыз,Жамбыл,әйелдер,,,12.958692667581944
2018,пайыз,Жамбыл,әйелдер,,,5.8
2010,пайыз,Қарағанды,әйелдер,,,10.14698334188792
2011,пайыз,Қарағанды,әйелдер,,,14.740545294635005
2012,пайыз,Қарағанды,әйелдер,,,10.366896235516624
2013,пайыз,Қарағанды,әйелдер,,,5.885831704505589
2014,пайыз,Қарағанды,әйелдер,,,15.886099268382544
2015,пайыз,Қарағанды,әйелдер,,,17.553868340685447
2016,пайыз,Қарағанды,әйелдер,,,13.214508847001689
